Trial,Distance,Optimal_Path,Prior_Optimal_Path,Posterior_Optimal_Path
1,2,1,0.125,0.9339622641509434
2,1,3,0.09882160340892597,0.9156556739735984
3,2,0,0.11175042963908129,0.9256790828677401
4,0,2,0.08800042719987623,0.9052373643488494
5,2,1,0.2292506220556495,0.967155418332904
6,0,2,0.17825872132075,0.9555078511135326
7,0,2,0.2678140992247637,0.9731266326585316
8,0,2,0.3414366002133534,0.9808894845260158
9,0,2,0.4018959093236513,0.9851902375636492
10,1,3,0.136049502677427,0.9397223565983871
11,3,6,0.016741114316444976,0.6276421980934849
12,1,3,0.18822722393860933,0.9582556005956379
13,3,7,0.021788395386740236,0.6879969293583779
14,3,7,0.05345058536207815,0.8482645821223951
15,0,2,0.34511982476127273,0.9811933544366315
16,0,2,0.38070766083409274,0.9838344339736401
17,2,0,0.08502769009441805,0.9019607430107314
18,0,2,0.3936876652504073,0.9846818841770969
19,1,3,0.17907516840871796,0.9557437807155381
20,0,2,0.4047078836944774,0.9853597633771128
21,1,3,0.20501295610836054,0.9623072932425837
22,1,3,0.23585233817895798,0.9683104178846753
23,0,2,0.3982777526943397,0.9849686756773246
24,2,1,0.10645492637117378,0.9218422389339668
25,3,4,0.010950570527802024,0.5229256883774668
26,0,2,0.39892370937537025,0.9850085189229648
27,2,0,0.08930368498296122,0.9066121182591991
28,0,2,0.4062449832287071,0.9854514629227261
29,0,2,0.42452764997388004,0.986492435656121
30,0,2,0.44167070090190186,0.9873919989207115
31,0,2,0.4577749166178053,0.9881770142788696
32,3,5,0.011026709637893437,0.5246731947589502
33,2,1,0.10981532811324221,0.924316266183107
34,3,4,0.02200979456616128,0.6902113911846061
35,0,2,0.44647855472769216,0.9876321594838872
36,0,2,0.46032609006455644,0.9882964431119668
37,0,2,0.4734613327438023,0.9888914042978298
38,3,5,0.021389922480324508,0.6839331576384163
39,0,2,0.4782562228804888,0.9891006166849879
40,0,2,0.490023072815045,0.9895970337685679
41,2,1,0.11283277034146257,0.9264226393312234
42,0,2,0.49101047281688687,0.9896376299542099
43,0,2,0.5016963547862724,0.9900669530403599
44,0,2,0.5119148583138408,0.990461061171309
45,0,2,0.5216957546117751,0.9908241077875739
46,0,2,0.5310663774489695,0.9911596192171187
47,3,6,0.022061565386167683,0.6907248253014203
48,3,4,0.02977445854211363,0.7523606268802668
49,0,2,0.5256896369661462,0.9909685419036715
50,1,3,0.14154918373206468,0.9422766805988462
51,2,1,0.11072531287731263,0.9249625656522732
52,0,2,0.5167877449728755,0.990643617135478
53,3,6,0.03097442682656325,0.7598743513844515
54,0,2,0.5183514638633904,0.990701486300038
55,1,3,0.1464008762450671,0.9443811022435348
56,1,3,0.1594701394624885,0.9494511584833033
57,0,2,0.5104658738703812,0.9904061178637241
58,3,6,0.03986246495380066,0.8043140089706823
59,3,4,0.03613388853374552,0.787747101372137
60,3,5,0.025794358280790883,0.723852646975919
61,0,2,0.5000974219657649,0.9900038571733284
62,0,2,0.5074304541027321,0.9902900221891996
63,3,4,0.04579984765508182,0.8261419087508575
64,1,3,0.15707755701537574,0.9485822264312701
65,0,2,0.5016910301670608,0.9900667435784227
66,0,2,0.5085607518511444,0.9903334114382347
67,1,3,0.1637841897637236,0.9509575310928471
68,0,2,0.5086532210750854,0.9903369527306913
69,0,2,0.5151272050378848,0.9905817877084694
70,1,3,0.1699650314812892,0.9529900301425964
71,0,2,0.515016259800305,0.9905776427813036
72,2,1,0.09494636541124242,0.9121711658970146
73,2,1,0.10536287483514248,0.9210072624926471
74,0,2,0.5092612939854915,0.990360208684716
75,0,2,0.515214827970812,0.99058506007441
76,3,6,0.041409123972090796,0.8104837814916469
77,2,1,0.11175152472053156,0.9256798418468556
78,1,3,0.16620864945689076,0.9517717629958158
79,3,4,0.046980579438855544,0.8299423694625199
80,0,2,0.49993540871239756,0.9899974418611533
81,0,2,0.5055661265427507,0.9902180398814526
82,0,2,0.5110628102009716,0.9904287897886642
83,2,1,0.11503262605629933,0.9278943091638561
84,2,1,0.12404372542625738,0.9334191780990299
85,0,2,0.5059652614596779,0.990233494358207
86,0,2,0.5112054951255094,0.9904342013425563
87,1,3,0.16118917943485717,0.9500604980960832
88,3,4,0.05114334755294626,0.8421741405012544
89,0,2,0.5067948234405505,0.9902655386039028
90,2,1,0.12638851277170185,0.9347372896036245
91,0,2,0.5069257877777875,0.9902705880861076
92,2,1,0.13331834208902085,0.9383811243043326
93,0,2,0.5070253563730577,0.990274425357936
94,0,2,0.5118132157077319,0.9904572169844164
95,1,3,0.15849888870755138,0.9491013939097784
96,0,2,0.5118025137495035,0.9904568121425571
97,1,3,0.16459187316930643,0.9512312928956487
98,0,2,0.511771691343106,0.9904556460762434
99,2,1,0.13359111162527462,0.9385173674868684
100,0,2,0.5117804800540167,0.9904559785828035
